Institut,Auftraggeber,Befragte,Datum,,CDU,SPD,GRÜNE,FDP,LINKE,PIRATEN,AfD
Emnid,Berliner,T- 750,29.02.2004,,35%,22%,19%,7%,11%,,
Forsa,Berliner,T- 1.005,16.02.2004,,33%,21%,16%,9%,14%,,
Emnid,Berliner,T- ?,31.01.2004,,34%,23%,18%,7%,13%,,
Forsa,Berliner,T- 1.000,19.01.2004,,34%,20%,17%,7%,15%,,
Emnid,Berliner,T- 759,28.12.2003,,34%,24%,17%,7%,13%,,
Forsa,Berliner,T- 1.008,13.12.2003,,33%,21%,17%,7%,15%,,
Infratest,RBB.,T- 1.000,06.12.2003,,33%,25%,16%,7%,15%,,
Emnid,Berliner,T- ?,30.11.2003,,32%,25%,17%,7%,13%,,
Forsa,Berliner,T- 1.007,15.11.2003,,33%,25%,15%,7%,14%,,
Emnid,Berliner,T- 752,02.11.2003,,33%,24%,18%,7%,11%,,
Forsa,Berliner,T- ?,20.10.2003,,31%,28%,16%,6%,12%,,
Emnid,Berliner,T- ?,28.09.2003,,33%,26%,18%,6%,11%,,
Forsa,Berliner,T- 1.001,13.09.2003,,33%,31%,15%,6%,10%,,
Emnid,Berliner,T- ?,31.08.2003,,30%,29%,18%,7%,10%,,
Infratest,RBB.,T- 1.000,30.08.2003,,30%,29%,13%,8%,15%,,
Forsa,Berliner,T- 1.004,18.08.2003,,29%,31%,16%,7%,11%,,
Emnid,Berliner,T- ?,03.08.2003,,31%,28%,18%,7%,11%,,
Forsa,Berliner,T- ?,19.07.2003,,30%,30%,16%,8%,12%,,
Emnid,Berliner,T- ?,29.06.2003,,31%,28%,19%,7%,11%,,
Forsa,Berliner,T- 1.031,17.06.2003,,28%,30%,17%,8%,13%,,
Emnid,Berliner,T- ?,01.06.2003,,29%,31%,18%,7%,10%,,
Forsa,Berliner,T- 1.002,17.05.2003,,27%,31%,17%,8%,12%,,
Emnid,Berliner,T- ?,27.04.2003,,32%,28%,19%,8%,9%,,
Forsa,Berliner,T- 1.001,12.04.2003,,28%,30%,16%,6%,15%,,
Emnid,Berliner,T- ?,30.03.2003,,29%,32%,19%,7%,10%,,
Forsa,Berliner,T- ?,15.02.2003,,32%,25%,17%,7%,13%,,
Emnid,Berliner,T- 751,02.02.2003,,33%,28%,19%,6%,10%,,
Emnid,Berliner,T- 750,29.12.2002,,32%,29%,18%,7%,10%,,
Emnid,Berliner,T- 750,01.12.2002,,35%,26%,18%,6%,10%,,
Forsa,Berliner,T- 1.001,23.11.2002,,28%,31%,16%,7%,13%,,
Emnid,Berliner,T- 753,12.10.2002,,27%,39%,14%,6%,10%,,
Emnid,Berliner,T- 753,15.09.2002,,26%,38%,12%,7%,12%,,
Forsa,Berliner,T- 1.007,10.08.2002,,25%,36%,11%,10%,13%,,
Emnid,Berliner,T- 750,14.07.2002,,27%,31%,13%,9%,16%,,
Forsa,Berliner,T- ?,13.07.2002,,24%,34%,10%,9%,18%,,
Emnid,Berliner,T- 750,23.06.2002,,26%,32%,12%,9%,17%,,
Forsa,Berliner,T- ?,16.05.2002,,26%,30%,9%,11%,19%,,
Forsa,Berliner,T- ?,28.04.2002,,26%,32%,10%,10%,18%,,
Infratest,SFB,T- 1.000,26.04.2002,,27%,30%,10%,9%,20%,,
Forsa,Berliner,T- ?,31.03.2002,,24%,32%,10%,8%,20%,,
Forsa,Berliner,T- ?,03.03.2002,,23%,30%,10%,9%,22%,,
Forsa,Berliner,T- ?,27.01.2002,,26%,29%,11%,6%,23%,,
Forsa,Berliner,T- ?,09.12.2001,,25%,31%,9%,7%,23%,,
Abgeordnetenhauswahl am 21.10.2001,,23.80%,29.70%,9.10%,9.90%,22.60%,4.90%,,,,
Forsa,Die Woche,T- ?,18.10.2001,,25%,35%,9%,7%,18%,,
Infratest,SFB,T- ?,12.10.2001,,25%,33%,10%,9%,19%,,
Forsa,Die Woche,T- ?,11.10.2001,,26%,36%,10%,7%,16%,,
Forschungs-,ZDF. Der,T- 993,05.10.2001,,26%,36%,10%,9%,15%,,
Forsa,Die Woche,T- ?,04.10.2001,,27%,34%,10%,10%,15%,,
Forsa,Die Woche,T- ?,27.09.2001,,28%,34%,10%,9%,16%,,
Forsa,Die Woche,T- ?,06.09.2001,,26%,35%,10%,9%,17%,,
Forsa,Berliner,T- ?,04.08.2001,,30%,32%,10%,7%,17%,,
Infratest,SFB,T- ?,20.07.2001,,26%,28%,11%,9%,21%,,
Forsa,Berliner,T- ?,01.07.2001,,30%,32%,9%,7%,18%,,
Infratest,SFB.,T- ?,22.06.2001,,30%,28%,9%,7%,22%,,
Forsa,Berliner,T- ?,13.06.2001,,30%,30%,13%,7%,16%,,
Emnid,DER SPIEGEL,T- ?,04.06.2001,,33%,30%,10%,7%,16%,,
Forsa,Berliner,T- ?,02.06.2001,,31%,29%,14%,7%,14%,,
Infratest,SFB.,T- 1.000,17.03.2001,,34%,29%,11%,4%,17%,,
Forsa,Berliner,T- ?,10.03.2001,,37%,28%,12%,3%,14%,,
Infratest,SFB.,T- 1.000,30.09.2000,,35%,30%,11%,4%,17%,,
Emnid,DER SPIEGEL,T- ?,23.09.2000,,37%,33%,18%,5%,4%,,
Forsa,Berliner,T- ?,17.04.2000,,39%,25%,12%,3%,15%,,
Abgeordnetenhauswahl am 10.10.1999,,40.80%,22.40%,9.90%,2.20%,17.70%,7.00%,,,,
Info GmbH,Berliner,T- 1.201,02.10.1999,,42.20%,17.30%,12.10%,,16.60%,,
Infratest,SFB.,T- 1.000,01.10.1999,,45%,21%,10%,3%,16%,,
Forsa,Berliner,T- ?,26.09.1999,,42%,20%,11%,,17%,,
Info GmbH,Berliner,T- 1.215. Ende Juli,07.08.1999,,38%,21%,13%,,17%,,
Infratest,SFB.,T- ?,03.07.1999,,44%,23%,11%,2%,15%,,
Forsa,Berliner,T- ?,27.06.1999,,38%,22%,13%,,16%,,
Infratest,SFB.,T- 1.000,27.03.1999,,35%,29%,12%,4%,14%,,
Forsa,Berliner,T- 1.070,26.01.1999,,31%,32%,,,,,
Info GmbH,Berliner,T- ?,22.01.1999,,32%,44%,12%,,9%,,
Infratest,SFB.,T- 1.000,19.03.1998,,25%,36%,16%,3%,16%,,
