pcon,share_conservative_poll,share_labor_poll,N,share_joint_poll,sd_poll,share_conservative,share_labor,share_joint,year
basingstoke,0.5917666256819097,0.4082333743180902,25,0.5223448549330408,0.09830135022693355,0.6369593709043251,0.36304062909567497,76.3,2015
bassetlaw,0.35993072466114145,0.6400692753388587,23,0.5894953082558205,0.10008270451851897,0.3871374527112232,0.6128625472887769,79.3,2015
bath,0.7252668919076849,0.274733108092315,26,0.5030840149063553,0.0875422595555232,0.7411764705882352,0.2588235294117647,51,2015
batley and spen,0.35631206450682196,0.643687935493178,36,0.7730125959059838,0.07981815742912628,0.4193548387096774,0.5806451612903226,74.4,2015
battersea,0.5767311173823952,0.42326888261760476,42,0.7233642731365277,0.07623777585467612,0.5874439461883408,0.4125560538116592,89.19999999999999,2015
beaconsfield,0.7777749780725131,0.22222502192748705,23,0.6967527319714937,0.08668811200700922,0.8471849865951742,0.15281501340482573,74.60000000000001,2015
beckenham,0.5912450434758119,0.40875495652418814,37,0.7424941840801415,0.08081917454468159,0.7470664928292048,0.2529335071707953,76.69999999999999,2015
bedford,0.5751397049417557,0.42486029505824424,21,0.5833760336266278,0.10786985649411183,0.5144927536231884,0.4855072463768116,82.80000000000001,2015
bermondsey and old southwark,0.452825835131995,0.5471741648680051,35,0.6715108457409193,0.08413842305035305,0.21493624772313297,0.785063752276867,54.900000000000006,2015
berwick-upon-tweed,0.7573264570359972,0.24267354296400293,20,0.6362185299164818,0.0958600788934844,0.732620320855615,0.26737967914438504,56.1,2015
bethnal green and bow,0.2777571604124994,0.7222428395875006,36,0.6148624528069379,0.07464882976162536,0.2,0.8,76.5,2015
beverley and holderness,0.2280944228885009,0.7719055771114991,34,0.7300154282349527,0.07196145968822941,0.6584699453551913,0.34153005464480873,73.2,2015
bexhill and battle,0.7303977061067074,0.2696022938932926,23,0.49677124297200026,0.09252893719423254,0.7953555878084181,0.20464441219158203,68.89999999999999,2015
bexleyheath and crayford,0.5543594964246884,0.44564050357531165,26,0.6199300621968313,0.09747683060968786,0.6435374149659864,0.35646258503401357,73.5,2015
birkenhead,0.12532562795213892,0.874674372047861,24,0.8223957215416303,0.06758300912289918,0.1806060606060606,0.8193939393939393,82.5,2015
birmingham - edgbaston,0.49369753290519863,0.5063024670948014,23,0.6100599396691407,0.10424892427940859,0.4603365384615385,0.5396634615384616,83.19999999999999,2015
birmingham - erdington,0.4758467014928361,0.5241532985071639,26,0.6945705803964914,0.09794359015647415,0.4031413612565445,0.5968586387434555,76.4,2015
birmingham - hall green,0.41558519443173514,0.5844148055682649,19,0.729012358089503,0.11306126438930822,0.22838709677419353,0.7716129032258064,77.5,2015
birmingham - hodge hill,0.08037528695665111,0.9196247130433488,8,0.45489095967889087,0.09612173284648425,0.1439299123904881,0.8560700876095119,79.9,2015
birmingham - ladywood,0.6510151785070657,0.3489848214929342,14,0.6206472160482175,0.12738984481293159,0.14716106604866744,0.8528389339513325,86.3,2015
birmingham - northfield,0.33567607735299454,0.6643239226470056,25,0.5324042221776558,0.09444525365435807,0.46183699870633893,0.538163001293661,77.30000000000001,2015
birmingham - perry barr,0.36002894969585786,0.6399710503041421,12,0.6251636973928981,0.13856650180712127,0.2724968314321926,0.7275031685678073,78.9,2015
birmingham - selly oak,0.36482023404501246,0.6351797659549876,24,0.6897734777490518,0.09826122303931216,0.37809647979139505,0.621903520208605,76.7,2015
birmingham - yardley,0.5164424323281032,0.4835575676718969,19,0.5948401044199143,0.11464582679281067,0.2517985611510791,0.7482014388489209,55.6,2015
bishop auckland,0.3464215630196475,0.6535784369803525,28,0.6581100935537431,0.08992331329977622,0.43978349120433013,0.5602165087956698,73.9,2015
blackburn,0.6290143837368573,0.3709856162631428,20,0.6147555590928391,0.10801742655446828,0.326555023923445,0.6734449760765551,83.6,2015
blackley and broughton,0.28977184371163867,0.7102281562883613,21,0.5853108207135242,0.09899594082673922,0.19505851755526657,0.8049414824447333,76.9,2015
blackpool north and cleveleys,0.30038284177506375,0.6996171582249362,23,0.5584813683147849,0.09558810871610428,0.5522388059701492,0.4477611940298507,80.4,2015
blackpool south,0.41818972153237327,0.5818102784676267,20,0.5999126257632913,0.11029666321721826,0.4470899470899471,0.5529100529100529,75.6,2015
blaydon,0.35082292274659166,0.6491770772534083,25,0.6032444708683997,0.0954455236503275,0.26126126126126126,0.7387387387387389,66.6,2015
blyth valley,0.43958586767976515,0.5604141323202348,22,0.45605042537979423,0.10581934275323657,0.3191176470588235,0.6808823529411764,68,2015
bognor regis and littlehampton,0.5909040207857904,0.4090959792142096,23,0.7513553018966084,0.1025196606817606,0.7880184331797235,0.21198156682027652,65.1,2015
bolsover,0.33964730358052925,0.6603526964194708,26,0.6793462591873599,0.09287854201776828,0.3236459709379128,0.6763540290620872,75.7,2015
bolton north east,0.4478976831385731,0.552102316861427,22,0.7859756215087035,0.10602001281440634,0.43271767810026385,0.5672823218997362,75.8,2015
bolton south east,0.22035236014959325,0.7796476398504067,18,0.6369616035449619,0.0976948757686392,0.2867231638418079,0.7132768361581922,70.8,2015
bolton west,0.2816088861323434,0.7183911138676565,27,0.7534704895835129,0.08656090157152774,0.5100502512562815,0.4899497487437186,79.6,2015
bootle,0.21312693050763112,0.7868730694923689,19,0.6102466985956367,0.09394955029164001,0.09806295399515738,0.9019370460048427,82.6,2015
boston and skegness,0.6043409668921642,0.39565903310783573,31,0.5956587577988046,0.08782551665146662,0.7263681592039801,0.27363184079601993,60.3,2015
bosworth,0.904651989808666,0.095348010191334015,21,0.5985556254892936,0.06408950851808641,0.7097844112769486,0.2902155887230514,60.3,2015
bournemouth east,0.6525683839637062,0.3474316160362937,21,0.6880347013194501,0.10390538008315045,0.7477203647416413,0.2522796352583586,65.80000000000001,2015
bournemouth west,0.6983389800646749,0.3016610199353251,23,0.6372528179878433,0.09570372056438252,0.7318181818181818,0.2681818181818182,66,2015
bracknell,0.6654130873538765,0.3345869126461235,28,0.4810672913247606,0.08917048489351707,0.7675378266850069,0.23246217331499314,72.69999999999999,2015
bradford east,0.2063789526016725,0.7936210473983276,21,0.621163361548738,0.08831401779599805,0.19516407599309152,0.8048359240069084,57.900000000000006,2015
bradford south,0.34095984038749655,0.6590401596125034,26,0.6335230198484574,0.09296530114271119,0.37733142037302725,0.6226685796269726,69.7,2015
bradford west,0.5378875054277086,0.4621124945722915,15,0.7193339108529955,0.1287282763375282,0.2357473035439137,0.7642526964560863,64.9,2015
braintree,0.5067661488224244,0.4932338511775757,27,0.44866951985235426,0.09621623394827591,0.7441217150760719,0.2558782849239281,72.3,2015
brent central,0.24150616225247326,0.7584938377475268,22,0.8066814957162358,0.09124914341977915,0.24635922330097088,0.7536407766990291,82.4,2015
brent north,0.4780454839360684,0.5219545160639316,31,0.6718915412108734,0.08971603935147875,0.3815489749430524,0.6184510250569476,87.8,2015
brentford and isleworth,0.44679724247262687,0.553202757527373,47,0.607901783868201,0.07251844469578339,0.4948096885813149,0.5051903114186852,86.69999999999999,2015
brentwood and ongar,0.8886817348701398,0.11131826512986016,14,0.4083930450476149,0.08406056871529274,0.8246844319775596,0.1753155680224404,71.3,2015
bridgwater and west somerset,0.36761760551118605,0.6323823944888138,27,0.5083144634357967,0.09279106391150997,0.7232704402515723,0.27672955974842767,63.6,2015
brigg and goole,0.6340495380230842,0.36595046197691583,35,0.8718343881414754,0.0814214294985922,0.6608478802992519,0.3391521197007481,80.2,2015
brighton - kemptown,0.4305482920921826,0.5694517079078173,25,0.6065806461817547,0.09903059330705581,0.509386733416771,0.490613266583229,79.9,2015
brighton - pavilion,0.3574298787298188,0.6425701212701812,25,0.4341014052073814,0.09584858069288367,0.4550898203592814,0.5449101796407185,50.1,2015
bristol east,0.3855087160377071,0.6144912839622928,29,0.658482609789999,0.09038075510300005,0.43857142857142856,0.5614285714285714,70,2015
bristol north west,0.6231846452818838,0.3768153547181163,20,0.5303312866531745,0.10835717400494914,0.5612244897959183,0.43877551020408156,78.4,2015
bristol south,0.3847944601594441,0.615205539840556,16,0.5102957512593078,0.12163667302412492,0.38755980861244016,0.6124401913875598,62.7,2015
bristol west,0.5010790474844098,0.4989209525155901,24,0.5274612429563605,0.10206183494507272,0.2986247544204322,0.7013752455795678,50.900000000000006,2015
broadland,0.66237581253725,0.3376241874627501,26,0.6886015199213263,0.0927432550943459,0.7287157287157288,0.2712842712842713,69.3,2015
bromley and chislehurst,0.5964406880953067,0.4035593119046934,28,0.6677813862781907,0.09271677180680492,0.7047872340425532,0.2952127659574468,75.2,2015
bromsgrove,0.28218161682574616,0.7178183831742538,20,0.7195541894844367,0.10063676066710263,0.7082785808147175,0.29172141918528255,76.1,2015
broxbourne,0.6849869167879591,0.315013083212041,26,0.6196177806363465,0.09110008034643183,0.7530201342281879,0.24697986577181205,74.5,2015
broxtowe,0.5818699118015711,0.41813008819842895,41,0.6819684707416482,0.07703298589337462,0.5485436893203883,0.45145631067961167,82.4,2015
buckingham,0.8247810653357912,0.1752189346642087,14,0.5082899706018618,0.10160049901429356,NA,NA,NA,2015
burnley,0.3114781374455495,0.6885218625544505,11,0.5209275693734065,0.13962921918065743,0.26418786692759294,0.735812133072407,51.1,2015
burton,0.3373365579955636,0.6626634420044365,26,0.6511361750296503,0.09272386727749753,0.6442432082794308,0.35575679172056923,77.3,2015
bury north,0.6814658373399962,0.31853416266000373,32,0.6817075694301169,0.08236165481401488,0.5048192771084338,0.4951807228915663,83,2015
bury south,0.4322649052993023,0.5677350947006977,29,0.6953031868305332,0.09199174568403473,0.4341279799247177,0.5658720200752823,79.7,2015
bury st edmunds,0.6206460752518058,0.37935392474819424,26,0.6342496499642645,0.09516069900766962,0.7517531556802245,0.2482468443197756,71.3,2015
calder valley,0.5370783281669604,0.4629216718330396,35,0.588621912490652,0.08428272108637744,0.5518987341772152,0.4481012658227848,79,2015
camberwell and peckham,0.3286706357566919,0.671329364243308,43,0.7996424391835278,0.07163314955430476,0.17254901960784313,0.8274509803921568,76.5,2015
camborne and redruth,0.5822919006731062,0.41770809932689373,31,0.5885332686371977,0.08857802157376754,0.6165644171779141,0.3834355828220859,65.2,2015
cambridge,0.4971689669916461,0.502831033008354,37,0.4412595354226988,0.08219817602568076,0.30367504835589937,0.6963249516441006,51.7,2015
cannock chase,0.46186731044078755,0.5381326895592126,19,0.5744711994342864,0.11437378655944881,0.5673940949935815,0.4326059050064185,77.9,2015
canterbury,0.6818938759928476,0.3181061240071524,28,0.6466755366963066,0.08801676339447637,0.6364985163204747,0.3635014836795252,67.4,2015
carlisle,0.4930598933560968,0.5069401066439033,20,0.5894514790933827,0.11179262831684637,0.5395858708891595,0.46041412911084045,82.1,2015
carshalton and wallington,0.39376197070371777,0.6062380292962822,31,0.49756043915345166,0.08775212177036726,0.6788008565310492,0.32119914346895073,46.7,2015
castle point,0.6389433251254165,0.3610566748745835,21,0.5467642487322069,0.10481156615635163,0.7867078825347759,0.2132921174652241,64.7,2015
central devon,0.642753596641335,0.35724640335866514,24,0.5092956660175387,0.0978138986898852,0.8030769230769231,0.19692307692307692,65,2015
central suffolk and north ipswich,0.6897235603742266,0.3102764396257734,27,0.6479678031953527,0.08902870336955364,0.7489986648865153,0.25100133511348466,74.9,2015
charnwood,0.8128389712962909,0.18716102870370901,24,0.7507217892977457,0.07961673244317598,0.7125984251968505,0.28740157480314965,76.19999999999999,2015
chatham and aylesford,0.5497517741758914,0.45024822582410867,22,0.6045805726673592,0.10607132269596012,0.6802168021680216,0.3197831978319783,73.80000000000001,2015
cheadle,0.7725986696601759,0.22740133033982424,17,0.5638024395416776,0.10165974543125314,0.7255892255892256,0.2744107744107744,59.400000000000006,2015
chelmsford,0.4886664223880205,0.5113335776119794,24,0.5882956198488165,0.10203584950449876,0.7452966714905934,0.2547033285094067,69.1,2015
chelsea and fulham,0.3945835909259783,0.6054164090740217,29,0.9257965316150172,0.09076065164010123,0.7317073170731708,0.2682926829268293,86.1,2015
cheltenham,0.44871450735366464,0.5512854926463354,23,0.47531408587745116,0.10370732191752582,0.8632958801498127,0.13670411985018727,53.4,2015
chesham and amersham,0.8754622833184305,0.12453771668156947,17,0.7121384075506918,0.08008380676637909,0.8231197771587744,0.17688022284122562,71.8,2015
chesterfield,0.21681781619147955,0.7831821838085204,27,0.6235877695717962,0.0793043482936179,0.2742424242424243,0.7257575757575757,66,2015
chichester,0.8446947406017964,0.15530525939820372,21,0.5859699625293874,0.07903752448210923,0.8266475644699142,0.17335243553008597,69.8,2015
chingford and woodford green,0.8136045124708028,0.18639548752919727,27,0.6722538430049121,0.07494496987492695,0.6245110821382007,0.3754889178617992,76.7,2015
chippenham,0.8200158789883615,0.1799841210116384,14,0.5737407869820118,0.10267488119416633,0.8530465949820789,0.14695340501792115,55.8,2015
chipping barnet,0.4491636214825279,0.550836378517472,63,0.7157131161719414,0.06266763710231742,0.5869565217391304,0.41304347826086957,82.80000000000001,2015
chorley,0.3684333195788061,0.631566680421194,32,0.6142280363205526,0.08527349540649842,0.4459459459459459,0.5540540540540541,81.4,2015
christchurch,0.7739802324331271,0.226019767566873,16,0.46582318154903357,0.10456302890956776,0.8581979320531757,0.1418020679468242,67.7,2015
cities of london and westminster,0.8378874526898155,0.16211254731018454,25,0.5712859702939395,0.07371080499215504,0.6638036809815951,0.3361963190184049,81.5,2015
city of chester,0.5221214635723364,0.4778785364276635,20,0.6292495662514432,0.11169392124225422,0.4994206257242178,0.5005793742757821,86.30000000000001,2015
city of durham,0.5456342620247437,0.4543657379752563,37,0.5709923776823154,0.0818564191426072,0.3194244604316547,0.6805755395683453,69.5,2015
clacton,0.35858490345721616,0.6414150965427838,23,0.6012293774753131,0.10000038488399739,0.7181996086105675,0.28180039138943247,51.1,2015
cleethorpes,0.5323423498608365,0.4676576501391635,36,0.7842174627858598,0.08315881265611254,0.6155878467635403,0.3844121532364597,75.7,2015
colchester,0.5618186751452858,0.4381813248547143,34,0.6157756831137695,0.08509137846063967,0.705989110707804,0.29401088929219604,55.099999999999994,2015
colne valley,0.24289238322051232,0.7571076167794877,25,0.6912864847158868,0.085766117644200765,0.559748427672956,0.44025157232704404,79.5,2015
congleton,0.7800023614790291,0.21999763852097093,27,0.6382686427194699,0.07972143109932678,0.723202170963365,0.276797829036635,73.69999999999999,2015
copeland,0.41593290884871287,0.5840670911512871,19,0.7007440433645113,0.11307489930068969,0.45838668373879643,0.5416133162612036,78.1,2015
corby,0.398258633602156,0.601741366397844,37,0.7104450470428194,0.08047975981297437,0.5264452644526445,0.4735547355473555,81.3,2015
coventry north east,0.4820409955679329,0.5179590044320671,16,0.45372661822950516,0.12491934251743426,0.3067729083665338,0.6932270916334661,75.30000000000001,2015
coventry north west,0.51381976852029,0.48618023147971,33,0.679527581296086,0.08700557523028565,0.4313453536754508,0.5686546463245493,72.1,2015
coventry south,0.4646346856001036,0.5353653143998964,29,0.5989411785481786,0.09261512770924564,0.4527813712807245,0.5472186287192755,77.3,2015
crawley,0.5925439577377696,0.40745604226223037,28,0.6943905468396478,0.09285849755065691,0.5831265508684864,0.4168734491315137,80.6,2015
crewe and nantwich,0.3292196685323974,0.6707803314676026,19,0.6746393722651364,0.10780930493573895,0.5441354292623942,0.45586457073760583,82.7,2015
croydon central,0.626174672165934,0.3738253278340659,43,0.5539657344247133,0.07378156826991336,0.5017502917152858,0.49824970828471415,85.7,2015
croydon north,0.22666210412487667,0.7733378958751232,32,0.679632133154837,0.07401148447170215,0.2661195779601407,0.7338804220398594,85.3,2015
croydon south,0.557716055567803,0.4422839444321971,36,0.4536551568752967,0.08277628097765391,0.6915297092288244,0.3084702907711757,79.1,2015
dagenham and rainham,0.45362044620478637,0.5463795537952136,21,0.5836737556659045,0.10863853060882941,0.3708206686930091,0.6291793313069909,65.8,2015
darlington,0.3399396619902722,0.6600603380097279,25,0.585693176075405,0.0947376774459268,0.45070422535211274,0.5492957746478874,78.1,2015
dartford,0.5220519779055383,0.4779480220944617,29,0.5249251307950857,0.09275732339717845,0.6586021505376344,0.34139784946236557,74.4,2015
daventry,0.7651757372916961,0.23482426270830392,17,0.5577786479622767,0.10280816754914018,0.7627785058977719,0.23722149410222804,76.30000000000001,2015
denton and reddish,0.12790679563080365,0.8720932043691965,25,0.7872863232141865,0.06679719972042644,0.3181208053691275,0.6818791946308724,74.5,2015
derby north,0.5674326971686714,0.4325673028313285,19,0.624898211789007,0.11365988769652766,0.500682128240109,0.4993178717598908,73.30000000000001,2015
derby south,0.488175876354359,0.5118241236456411,26,0.5988997349393026,0.09803064475733568,0.35863874345549734,0.6413612565445026,76.4,2015
derbyshire dales,0.9227874656547435,0.07721253434525653,12,0.5417352756452958,0.07705558539415942,0.6977363515312917,0.3022636484687084,75.1,2015
devizes,0.8294478248096889,0.170552175190311,14,0.6565637483433404,0.10052154379185323,0.8161244695898161,0.18387553041018387,70.7,2015
dewsbury,0.7835254282711885,0.2164745717288115,31,0.7094063298046259,0.0739688974575472,0.4833127317676143,0.5166872682323856,80.9,2015
don valley,0.1978274379891572,0.8021725620108429,15,0.5638986112564162,0.10285645102692177,0.35384615384615387,0.6461538461538462,71.5,2015
doncaster central,0.3089459623137435,0.6910540376862565,31,0.6499209118497299,0.082988214220314,0.29756795422031473,0.7024320457796852,69.9,2015
doncaster north,0.009185506832722843,0.9908144931672771,26,0.676261248235774,0.018709451845101886,0.25884016973125884,0.7411598302687411,70.7,2015
dover,0.3823625856754701,0.61763741432453,33,0.6818296042240888,0.08459555091658169,0.5843454790823212,0.41565452091767885,74.1,2015
dudley north,0.6133435907462996,0.3866564092537004,13,0.5158314830952359,0.1350650072648026,0.4242424242424243,0.5757575757575758,72.6,2015
dudley south,0.701484044256904,0.29851595574309586,21,0.7934610348504445,0.09985803730675004,0.5732984293193717,0.42670157068062825,76.4,2015
dulwich and west norwood,0.4468004377946655,0.5531995622053344,26,0.8520859161600938,0.09750144112961787,0.2955729166666667,0.7044270833333334,76.8,2015
ealing central and acton,0.5419373667905286,0.4580626332094714,39,0.5827713946203938,0.07978195562115095,0.4970896391152503,0.5029103608847497,85.9,2015
ealing north,0.3896796091629623,0.6103203908370377,29,0.8668961738121861,0.09055945110820528,0.35023584905660377,0.6497641509433962,84.8,2015
ealing - southall,0.7316352180160363,0.26836478198396363,12,0.7338674157331069,0.12791440034083448,0.2502883506343714,0.7497116493656286,86.7,2015
easington,0.2888155183937543,0.7111844816062457,33,0.7478931095736827,0.07889408218554823,0.17456021650879566,0.8254397834912043,73.9,2015
east devon,0.7381382391914993,0.26186176080850065,23,0.5188418834022643,0.09167290127185238,0.8197879858657244,0.18021201413427562,56.599999999999994,2015
east ham,0.07949556974883305,0.9205044302511669,25,0.832219568245821,0.05410213457494684,0.13489409141583056,0.8651059085841695,89.69999999999999,2015
east hampshire,0.7271415115497742,0.2728584884502258,20,0.5539897521022995,0.09960088697669407,0.8573446327683617,0.1426553672316384,70.8,2015
east surrey,0.39293989785841427,0.6070601021415858,18,0.3826950925496465,0.11511784650942926,0.8294797687861271,0.17052023121387283,69.2,2015
east worthing and shoreham,0.6663249588940505,0.3336750411059495,24,0.6522138977650072,0.09624967706631808,0.717391304347826,0.2826086956521739,69,2015
east yorkshire,0.6345588118849351,0.3654411881150649,29,0.5234692130567657,0.08942226949049961,0.7096774193548387,0.2903225806451613,71.3,2015
eastbourne,0.6634638912421877,0.3365361087578122,27,0.44425483283393974,0.09093741361405334,0.8354430379746836,0.16455696202531644,47.4,2015
eastleigh,0.5694521890646368,0.43054781093536315,25,0.43489415159473843,0.09903057980929526,0.7663043478260869,0.23369565217391305,55.199999999999996,2015
eddisbury,0.36936968720502705,0.630630312794973,18,0.5047122680125119,0.11375795976523712,0.6836461126005362,0.31635388739946385,74.6,2015
edmonton,0.3939793581940009,0.6060206418059991,13,0.7648039561088243,0.13552167681026134,0.2818713450292398,0.7181286549707602,85.5,2015
ellesmere port and neston,0.26143898090198703,0.738561019098013,29,0.7675395392055445,0.0815979716124918,0.4177831912302071,0.582216808769793,82.1,2015
elmet and rothwell,0.4290066385423402,0.5709933614576598,34,0.6972863442747645,0.08488052895080758,0.5895249695493301,0.41047503045066996,82.1,2015
eltham,0.4932320720708993,0.5067679279291007,38,0.7249942034571426,0.08110327969738508,0.46075949367088603,0.5392405063291139,79,2015
enfield north,0.574195657200545,0.42580434279945495,34,0.6032550495551894,0.08479993834150422,0.4864864864864865,0.5135135135135136,85.1,2015
enfield - southgate,0.4260075746677912,0.5739924253322087,34,0.7378034616766518,0.08480516094753306,0.5588235294117646,0.4411764705882353,88.4,2015
epping forest,0.816771528777603,0.18322847122239705,10,0.5527210190522085,0.1223338867836301,0.772919605077574,0.22708039492242596,70.9,2015
epsom and ewell,0.740549553779215,0.25945044622078495,24,0.6473215150022897,0.08947437067316645,0.7899728997289973,0.21002710027100271,73.8,2015
erewash,0.5932927446381803,0.4067072553618198,34,0.6875487252553039,0.08424342596063249,0.5474358974358975,0.4525641025641025,78,2015
erith and thamesmead,0.24261703166215828,0.7573829683378418,31,0.6776681872937806,0.07699057495932728,0.35492227979274615,0.645077720207254,77.19999999999999,2015
esher and walton,0.8365605209606823,0.1634394790393176,28,0.7041278570259207,0.069879236577591,0.8320105820105821,0.167989417989418,75.6,2015
exeter,0.33420813923652004,0.6657918607634801,41,0.6104755939166449,0.07366917793867771,0.41635220125786165,0.5836477987421383,79.5,2015
fareham,0.7340447348406257,0.2659552651593744,33,0.6128963216200353,0.0769145653726659,0.796875,0.203125,70.4,2015
faversham and mid kent,0.8595861962544914,0.14041380374550866,15,0.43804131094566817,0.0897023847558233,0.7705382436260624,0.22946175637393768,70.6,2015
feltham and heston,0.5169778907924657,0.4830221092075342,30,0.5075058545046467,0.09123445095361714,0.3574938574938575,0.6425061425061425,81.4,2015
filton and bradley stoke,0.45453621989923837,0.5454637801007616,26,0.648492232843189,0.09765186293448264,0.6371077762619372,0.36289222373806274,73.30000000000001,2015
finchley and golders green,0.6050624174082642,0.3949375825917359,29,0.6031799067503922,0.0907748044278146,0.5618101545253863,0.43818984547461376,90.6,2015
folkestone and hythe,0.6497820841167483,0.35021791588325174,35,0.4619957564772138,0.08063415215432573,0.7688603531300161,0.23113964686998398,62.3,2015
forest of dean,0.20415159392826618,0.7958484060717338,22,0.6418514900166443,0.08593700669274995,0.6554621848739495,0.3445378151260504,71.4,2015
fylde,0.4387714456684064,0.5612285543315936,22,0.5931298841921445,0.1057980632522644,0.7231222385861561,0.27687776141384385,67.9,2015
gainsborough,0.8035668336296886,0.19643316637031136,22,0.4747656701717583,0.08470461442835679,0.7121621621621622,0.28783783783783784,74,2015
garston and halewood,0.28880706384153454,0.7111929361584655,14,0.6880967881341934,0.1211249483906027,0.16545893719806762,0.8345410628019323,82.8,2015
gateshead,0.36329283771647297,0.636707162283527,28,0.6600260041549608,0.09089066268646737,0.20336605890603085,0.7966339410939691,71.3,2015
gedling,0.5018829971044023,0.4981170028955977,24,0.5531170822844829,0.10206134885488907,0.4604591836734694,0.5395408163265305,78.4,2015
gillingham and rainham,0.5339663546555912,0.4660336453444089,26,0.5210231218642424,0.09783154414042747,0.6521739130434783,0.3478260869565218,73.6,2015
gloucester,0.5645145823553154,0.43548541764468457,30,0.5705601434723806,0.09052400577812113,0.589076723016905,0.41092327698309494,76.9,2015
gosport,0.9354690707586123,0.06453092924138762,21,0.5604056683211507,0.053615335587173865,0.7922636103151862,0.20773638968481375,69.8,2015
grantham and stamford,0.615902555174686,0.38409744482531405,25,0.6232147751690967,0.09727622478364975,0.757532281205165,0.24246771879483503,69.69999999999999,2015
gravesham,0.5750123279036455,0.42498767209635435,30,0.7315607879230406,0.0902539289380202,0.6090909090909091,0.39090909090909093,77,2015
great grimsby,0.17857125943934848,0.8214287405606515,10,0.37081930196073715,0.12111299052603457,0.39788199697428145,0.6021180030257186,66.1,2015
great yarmouth,0.4874768411209217,0.5125231588790783,27,0.552296807769907,0.09619485827710053,0.5958333333333333,0.4041666666666667,72,2015
greenwich and woolwich,0.3468354169620534,0.6531645830379466,35,0.6301167182664349,0.08045240127869965,0.3375634517766497,0.6624365482233502,78.80000000000001,2015
guildford,0.703096796885207,0.296903203114793,34,0.6608395008599843,0.07835659270565729,0.8251445086705202,0.17485549132947975,69.2,2015
hackney north and stoke newington,0.17883263759873208,0.8211673624012679,36,0.7485665631613008,0.0638686858867066,0.18943298969072164,0.8105670103092784,77.6,2015
hackney south and shoreditch,0.25728383422310774,0.7427161657768924,24,0.6130563443113599,0.08923024124667697,0.17329910141206675,0.8267008985879333,77.9,2015
halesowen and rowley regis,0.39708067869648017,0.6029193213035199,32,0.6646779755008725,0.08649559477627004,0.5440806045340051,0.45591939546599497,79.4,2015
halifax,0.40413880560955967,0.5958611943904403,26,0.6585702544221121,0.09623901164249635,0.4936708860759494,0.5063291139240507,79,2015
haltemprice and howden,0.539738790868621,0.4602612091313791,28,0.782690829449999,0.09419221011548294,0.7207446808510638,0.27925531914893614,75.2,2015
halton,0.2991700990121769,0.700829900987823,32,0.8015586243069426,0.08094507220741212,0.2208436724565757,0.7791563275434243,80.6,2015
hammersmith,0.6682207975105031,0.33177920248949694,31,0.6903144330879515,0.08456754568618419,0.4212962962962963,0.5787037037037037,86.4,2015
hampstead and kilburn,0.42352155329833063,0.5764784467016694,40,0.6942372915765272,0.07812666753261972,0.4878892733564014,0.5121107266435987,86.69999999999999,2015
harborough,0.811027668704066,0.18897233129593402,26,0.7079167363938876,0.07677684679554062,0.775,0.225,68,2015
harlow,0.6282386136496287,0.3717613863503713,23,0.673070215984418,0.10076983200412738,0.6197718631178707,0.38022813688212925,78.9,2015
