pcon,share_conservative_poll,share_labor_poll,N,share_joint_poll,sd_poll,share_conservative,share_labor,share_joint,year
aldershot,0.5692482840836055,0.4307517159163945,22,0.5294907185286204,0.10557304131424759,0.7343976777939042,0.26560232220609575,68.9,2015
aldridge-brownhills,0.6348166410592101,0.36518335894078985,28,0.7026183596153783,0.09099145825168585,0.6993288590604027,0.3006711409395973,74.5,2015
altrincham and sale west,0.6883773178730836,0.31162268212691624,21,0.6249621569745896,0.10106904431906301,0.6649937264742786,0.33500627352572143,79.7,2015
amber valley,0.67640321378383494,0.323596786216165,24,0.7500598030455186,0.09549910692574011,0.5583756345177665,0.4416243654822335,78.8,2015
arundel and south downs,0.8413858561004929,0.158614143899507,18,0.49674012942708357,0.08610578031136842,0.8444444444444444,0.15555555555555556,72,2015
ashfield,0.3292194726982578,0.6707805273017422,23,0.5733700748059789,0.09798713568949817,0.3533123028391167,0.6466876971608833,63.4,2015
ashford,0.6372551266976987,0.3627448733023013,39,0.5621565846004013,0.0769883491344047,0.7404795486600846,0.25952045133991536,70.9,2015
ashton-under-lyne,0.250881293049173,0.7491187069508269,14,0.6425973660105667,0.11586317973218854,0.30737134909596664,0.6926286509040332,71.9,2015
aylesbury,0.68901759840897,0.31098240159102997,19,0.4130315864685089,0.10619553650341265,0.7705167173252281,0.22948328267477205,65.8,2015
banbury,0.5303492357828452,0.4696507642171548,28,0.6399253937263742,0.09431689060354635,0.7133243606998655,0.2866756393001346,74.3,2015
barking,0.24710576031254564,0.7528942396874544,18,0.7093837805828638,0.10166516488860883,0.22027027027027027,0.7797297297297298,74,2015
barnsley central,0.17241153660009761,0.8275884633999023,24,0.7527295565809335,0.07710539287432355,0.21216407355021216,0.7878359264497878,70.7,2015
barnsley east,0.3169444797814463,0.6830555202185536,25,0.6299723432281428,0.09305711719530424,0.2106782106782107,0.7893217893217894,69.3,2015
barrow and furness,0.1606506081669593,0.8393493918330407,29,0.6097941787048637,0.0681888832740113,0.4891304347826087,0.5108695652173912,82.8,2015
basildon and billericay,0.5883997968112094,0.4116002031887907,23,0.6284411915776426,0.1026148298299619,0.6897905759162304,0.3102094240837696,76.4,2015
